verb_lemma	P(verb)	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_odds_ratio
ol	0.152	0.064	0.009728	3.44713474160278e-05	5.643
et	0.052	0.064	0.003328	0.019771105513392676	-1.782
yap	0.038	0.064	0.002432	0.021911094393061027	-2.198
al	0.03	0.064	0.00192	0.0025214321734745334	-0.273
bulun	0.024	0.064	0.001536	0.022042035263783868	-2.664
ver	0.021	0.064	0.0013440000000000001	0.0020724365933089905	-0.433
i	0.019	0.064	0.001216	1.1301605958206661e-15	27.704
çık	0.018	0.064	0.001152	0.28967810931825927	-5.527
kullan	0.018	0.064	0.001152	0.0006960009437300932	0.504
başla	0.017	0.064	0.0010880000000000002	0.07594110484893368	-4.246
gel	0.015	0.064	0.00096	1.3689628737268646e-15	27.276
çalış	0.015	0.064	0.00096	0.03962517498500129	-3.72
kur	0.013	0.064	0.000832	0.0033715012722646313	-1.399
oluş	0.012	0.064	0.000768	0.47796512903606936	-6.434
gör	0.01	0.064	0.00064	0.0002603645103144402	0.899
kal	0.01	0.064	0.00064	2.0408163265306123e-05	3.446
kazan	0.009	0.064	0.000576	0.07271501940461528	-4.838
oyna	0.009	0.064	0.000576	0.019651800620081088	-3.53
yaşa	0.009	0.064	0.000576	0.018694944465721945	-3.48
göster	0.009	0.064	0.000576	2.42001839213978e-15	26.196
gir	0.008	0.064	0.000512	0.00017569840114454958	1.07
bil	0.008	0.064	0.000512	0.11501216791725816	-5.414
geç	0.008	0.064	0.000512	2.6154047338825685e-15	26.0
yaz	0.007	0.064	0.000448	0.013736822234484362	-3.423
sür	0.007	0.064	0.000448	0.33305069878954446	-6.611
sağla	0.007	0.064	0.000448	0.00015270905870136216	1.076
kat	0.007	0.064	0.000448	3.1247070587132456e-15	25.689
öl	0.006	0.064	0.000384	0.4667827657378741	-7.103
geliş	0.006	0.064	0.000384	0.49632983023443816	-7.164
getir	0.006	0.064	0.000384	0.012446572063600616	-3.479
çek	0.006	0.064	0.000384	0.007992461259248919	-3.036
de	0.006	0.064	0.000384	0.0015861825872400424	-1.418
aç	0.006	0.064	0.000384	0.003666495563540368	-2.256
at	0.006	0.064	0.000384	0.006107970712090747	-2.767
git	0.005	0.064	0.00032	3.837298541826554e-15	25.147
ayır	0.005	0.064	0.00032	0.03671791628789376	-4.743
yayınla	0.005	0.064	0.00032	0.003038515233637185	-2.251
alın	0.005	0.064	0.00032	4.2076916603551294e-15	25.055
düzenle	0.005	0.064	0.00032	0.0011463994565217392	-1.276
taşı	0.005	0.064	0.00032	0.0020137103684661527	-1.839
dön	0.005	0.064	0.00032	0.03502551241027415	-4.696
söyle	0.005	0.064	0.00032	0.0029962881803139393	-2.237
iste	0.005	0.064	0.00032	0.00027183762232693004	0.163
seç	0.005	0.064	0.00032	0.0027539358332950843	-2.152
geçir	0.005	0.064	0.00032	0.002029894814541428	-1.847
değiş	0.004	0.064	0.000256	0.5836089854356948	-7.732
bul	0.004	0.064	0.000256	0.0012595780413561456	-1.593
ulaş	0.004	0.064	0.000256	0.07151945710953239	-5.633
tanı	0.004	0.064	0.000256	0.1451587004228443	-6.34
gerek	0.004	0.064	0.000256	0.11880303707012059	-6.14
bırak	0.004	0.064	0.000256	0.0024343297101449275	-2.252
üre	0.004	0.064	0.000256	0.8796455967176072	-8.142
giy	0.003	0.064	0.000192	0.023308077565172725	-4.799
açıkla	0.003	0.064	0.000192	6.524434005350036e-15	24.105
sat	0.003	0.064	0.000192	0.0005246245655452816	-1.005
tamamla	0.003	0.064	0.000192	0.0016143135804129953	-2.129
yayımla	0.003	0.064	0.000192	0.003583735354927636	-2.927
belir	0.003	0.064	0.000192	0.9432130040109774	-8.5
araştır	0.003	0.064	0.000192	0.00021138669673055241	-0.096
doğ	0.003	0.064	0.000192	7.075137965190322e-05	0.998
yerleş	0.003	0.064	0.000192	0.30632425126271606	-7.375
gönder	0.003	0.064	0.000192	0.0010671599317017644	-1.715
düş	0.003	0.064	0.000192	7.204610951008645e-15	24.006
art	0.003	0.064	0.000192	0.20175820982272596	-6.957
düşün	0.003	0.064	0.000192	0.018025249945267458	-4.542
yüksel	0.003	0.064	0.000192	0.14064553819190886	-6.597
savun	0.003	0.064	0.000192	7.364854912358227e-15	23.984
tut	0.003	0.064	0.000192	0.02811275248718722	-4.986
anlat	0.003	0.064	0.000192	0.0006057852491291837	-1.149
konuş	0.003	0.064	0.000192	0.005947660586835844	-3.433
sun	0.003	0.064	0.000192	0.0036208561313163822	-2.937
içer	0.003	0.064	0.000192	8.055421298533913e-15	23.894
birleş	0.003	0.064	0.000192	0.3390743612766305	-7.476
kaybet	0.003	0.064	0.000192	0.00646481178396072	-3.517
topla	0.003	0.064	0.000192	0.013973368403748151	-4.287
hazırla	0.003	0.064	0.000192	0.01264559068219634	-4.188
yürü	0.002	0.064	0.000128	0.6450531959453799	-8.525
izle	0.002	0.064	0.000128	0.004545859702290757	-3.57
işle	0.002	0.064	0.000128	0.4271021291952364	-8.113
yarat	0.002	0.064	0.000128	0.00018078278947844165	-0.345
tanımla	0.002	0.064	0.000128	9.202171712524156e-05	0.33
belirle	0.002	0.064	0.000128	9.339684318670029e-15	23.341
oku	0.002	0.064	0.000128	0.06426392067124333	-6.219
var	0.002	0.064	0.000128	0.002487086282762579	-2.967
yönet	0.002	0.064	0.000128	0.0001915892326851231	-0.403
koru	0.002	0.064	0.000128	9.71534052268532e-05	0.276
bitir	0.002	0.064	0.000128	9.730466089325679e-05	0.274
yen(II)	0.002	0.064	0.000128	9.941346058256288e-15	23.279
dur	0.002	0.064	0.000128	0.3124367024508811	-7.8
bağla	0.002	0.064	0.000128	0.0028380295965943643	-3.099
uygula	0.002	0.064	0.000128	0.004247440644739708	-3.502
evlen	0.002	0.064	0.000128	0.054830573527799104	-6.06
başar	0.002	0.064	0.000128	1.1031439602868175e-14	23.175
say	0.002	0.064	0.000128	0.0009041591320072332	-1.955
dayan	0.002	0.064	0.000128	0.06804498466431898	-6.276
bas	0.002	0.064	0.000128	0.30863636363636365	-7.788
koy	0.002	0.064	0.000128	0.01125307701324581	-4.476
bak	0.002	0.064	0.000128	0.00129366106080207	-2.313
anlaş	0.002	0.064	0.000128	1.1803588290840416e-14	23.107
etkile	0.002	0.064	0.000128	0.00024044241404183698	-0.63
ilerle	0.002	0.064	0.000128	0.03305585716009169	-5.554
an	0.002	0.064	0.000128	1.218769043266301e-14	23.075
yetiş	0.002	0.064	0.000128	0.548470328050129	-8.363
duy	0.002	0.064	0.000128	1.2298610257040956e-14	23.066
uğra	0.002	0.064	0.000128	0.20829688866674997	-7.395
imzala	0.002	0.064	0.000128	0.00864336715520481	-4.213
uza	0.002	0.064	0.000128	0.2661907852044127	-7.64
incele	0.002	0.064	0.000128	0.0015598596126348628	-2.5
kaydet	0.002	0.064	0.000128	0.005493068270991368	-3.759
dönüş	0.002	0.064	0.000128	0.4096	-8.071
inan	0.002	0.064	0.000128	0.03100254999328949	-5.49
bekle	0.002	0.064	0.000128	0.04926638847758783	-5.953
ata	0.002	0.064	0.000128	0.00040584415584415587	-1.154
destekle	0.002	0.064	0.000128	1.3622122326658493e-14	22.964
kaldır	0.002	0.064	0.000128	0.005746340128608565	-3.804
çal	0.002	0.064	0.000128	0.02081336437080652	-5.091
öğren	0.002	0.064	0.000128	1.394700139470014e-14	22.94
ara	0.001	0.064	6.4e-05	0.011908097506304286	-5.226
kaç	0.001	0.064	6.4e-05	1.4184397163120568e-14	22.23
üstlen	0.001	0.064	6.4e-05	0.00014259232853272493	-0.801
yakala	0.001	0.064	6.4e-05	0.008653014133256417	-4.907
büyü	0.001	0.064	6.4e-05	0.12602820211515864	-7.585
azal	0.001	0.064	6.4e-05	0.3867611580217129	-8.707
kurtul	0.001	0.064	6.4e-05	1.5179113539769277e-14	22.162
kapa	0.001	0.064	6.4e-05	0.6427041908840624	-9.215
ekle	0.001	0.064	6.4e-05	0.004014823965410748	-4.139
tartış	0.001	0.064	6.4e-05	0.000158052789631737	-0.904
sev	0.001	0.064	6.4e-05	0.021121168810544703	-5.799
in	0.001	0.064	6.4e-05	0.5316778096147724	-9.025
yay	0.001	0.064	6.4e-05	0.0003208213025344883	-1.612
bit	0.001	0.064	6.4e-05	0.003255738238645613	-3.929
seslen	0.001	0.064	6.4e-05	0.9366758912583428	-9.591
canlan	0.001	0.064	6.4e-05	0.9125431530494822	-9.565
kes	0.001	0.064	6.4e-05	0.04838709677419355	-6.628
vur	0.001	0.064	6.4e-05	0.005518394648829431	-4.457
görün	0.001	0.064	6.4e-05	1.6753224995811696e-14	22.064
er	0.001	0.064	6.4e-05	0.12192622950819672	-7.552
karşılaş	0.001	0.064	6.4e-05	0.1632900432900433	-7.844
ele	0.001	0.064	6.4e-05	0.00034897923573547375	-1.696
sal	0.001	0.064	6.4e-05	0.7641996557659209	-9.388
kurtar	0.001	0.064	6.4e-05	0.0001918649270913277	-1.098
davran	0.001	0.064	6.4e-05	0.0001936858415649816	-1.107
karşıla	0.001	0.064	6.4e-05	0.000194325689856199	-1.111
tasarla	0.001	0.064	6.4e-05	0.001170046801872075	-2.906
çatış	0.001	0.064	6.4e-05	0.000588119976475201	-2.218
kuşat	0.001	0.064	6.4e-05	1.967729240456513e-14	21.903
kır	0.001	0.064	6.4e-05	0.0037394213737453256	-4.068
kon(I)	0.001	0.064	6.4e-05	0.004334975369458128	-4.216
keşfet	0.001	0.064	6.4e-05	0.0007936507936507937	-2.518
sergile	0.001	0.064	6.4e-05	1.9876764062810574e-14	21.893
otur	0.001	0.064	6.4e-05	0.11261710185369743	-7.473
rastla	0.001	0.064	6.4e-05	0.0004060913705583756	-1.848
planla	0.001	0.064	6.4e-05	2.0673971469919374e-14	21.853
yık	0.001	0.064	6.4e-05	0.04224477117415614	-6.492
tanış	0.001	0.064	6.4e-05	0.07098251457119067	-7.011
ayaklan	0.001	0.064	6.4e-05	0.012080816496563215	-5.24
besle	0.001	0.064	6.4e-05	2.0977554017201596e-14	21.839
böl	0.001	0.064	6.4e-05	0.0006376195536663124	-2.299
uç	0.001	0.064	6.4e-05	2.189621195533173e-14	21.796
kapsa	0.001	0.064	6.4e-05	2.215330084182543e-14	21.784
karış	0.001	0.064	6.4e-05	0.4780292942743009	-8.919
genişle	0.001	0.064	6.4e-05	0.5326737229636447	-9.027
sırala	0.001	0.064	6.4e-05	2.328830926874709e-14	21.734
reddet	0.001	0.064	6.4e-05	0.00023702299123014932	-1.309
götür	0.001	0.064	6.4e-05	0.00047938638542665386	-2.014
boz	0.001	0.064	6.4e-05	0.011438306157215868	-5.186
savaş	0.001	0.064	6.4e-05	0.0024770869457517958	-3.656
yansı	0.001	0.064	6.4e-05	0.6117734724292101	-9.165
paylaş	0.001	0.064	6.4e-05	0.05565217391304348	-6.768
bahset	0.001	0.064	6.4e-05	0.007771371270995237	-4.799
uyarla	0.001	0.064	6.4e-05	0.0002535496957403651	-1.377
anla	0.001	0.064	6.4e-05	2.5568908207619534e-14	21.641
engelle	0.001	0.064	6.4e-05	0.0005188067444876783	-2.093
benze	0.001	0.064	6.4e-05	0.2516883116883117	-8.277
çarp	0.001	0.064	6.4e-05	0.21805880822274265	-8.134
ilgilen	0.001	0.064	6.4e-05	0.09282920469361147	-7.28
aktar	0.001	0.064	6.4e-05	0.0002687449610319806	-1.435
patla	0.001	0.064	6.4e-05	0.11240520043336945	-7.471
çevir	0.001	0.064	6.4e-05	0.007051803634391104	-4.702
barın	0.001	0.064	6.4e-05	0.8911245865490628	-9.541
edin	0.001	0.064	6.4e-05	0.005541701302299806	-4.461
tutukla	0.001	0.064	6.4e-05	0.02974186307519641	-6.141
çiz	0.001	0.064	6.4e-05	0.007612066535100085	-4.779
yönel	0.001	0.064	6.4e-05	0.22474167623421354	-8.164
ye	0.001	0.064	6.4e-05	0.03393730227207363	-6.273
çöz	0.001	0.064	6.4e-05	0.0031691155286660906	-3.902
dol	0.001	0.064	6.4e-05	0.6409277745155608	-9.212
ak	0.001	0.064	6.4e-05	2.9489826010026544e-14	21.498
öner	0.001	0.064	6.4e-05	3.0358227079538554e-14	21.469
çevril	0.001	0.064	6.4e-05	3.063725490196079e-14	21.46
dağıl	0.001	0.064	6.4e-05	3.1133250311332505e-14	21.444
sakla	0.001	0.064	6.4e-05	0.0006333122229259025	-2.292
duyur	0.001	0.064	6.4e-05	0.0003183699458771092	-1.604
yaklaş	0.001	0.064	6.4e-05	0.0645367412140575	-6.916
dağıt	0.001	0.064	6.4e-05	0.0025591810620601407	-3.689
kalk	0.001	0.064	6.4e-05	3.222687721559781e-14	21.409
düşür	0.001	0.064	6.4e-05	0.0016249593760155996	-3.234
yağ	0.001	0.064	6.4e-05	0.03816046966731898	-6.391
diren	0.001	0.064	6.4e-05	3.278688524590164e-14	21.392
uy	0.001	0.064	6.4e-05	0.2074415541652947	-8.084
uğraş	0.001	0.064	6.4e-05	0.017815902342461234	-5.629
artır	0.001	0.064	6.4e-05	0.0006662225183211193	-2.343
benimse	0.001	0.064	6.4e-05	0.020611473720371008	-5.775
değ	0.001	0.064	6.4e-05	0.011395027624309393	-5.182
yitir	0.001	0.064	6.4e-05	3.4638032559750605e-14	21.337
hesapla	0.001	0.064	6.4e-05	0.00034916201117318437	-1.697
yak	0.001	0.064	6.4e-05	0.012618296529968454	-5.284
aş	0.001	0.064	6.4e-05	0.0010687566797292483	-2.815
uzaklaş	0.001	0.064	6.4e-05	0.49334771664868754	-8.95
suçla	0.001	0.064	6.4e-05	3.6049026676279745e-14	21.297
dök	0.001	0.064	6.4e-05	0.009779065555957986	-5.029
zorla	0.001	0.064	6.4e-05	0.0003654970760233918	-1.742
kavuş	0.001	0.064	6.4e-05	0.16293577981651375	-7.842
türe	0.001	0.064	6.4e-05	0.4429307805596465	-8.842
kıl	0.001	0.064	6.4e-05	0.017043349388662466	-5.585
kutla	0.001	0.064	6.4e-05	0.0003732736095558044	-1.763
san	0.001	0.064	6.4e-05	3.746721618583739e-14	21.259
yarış	0.001	0.064	6.4e-05	0.010918674698795181	-5.139
bestele	0.001	0.064	6.4e-05	0.0007590132827324478	-2.473
önle	0.001	0.064	6.4e-05	3.8008361839604716e-14	21.244
atla	0.001	0.064	6.4e-05	0.18769113149847094	-7.984
sok	0.001	0.064	6.4e-05	0.0019171779141104294	-3.4
yarala	0.001	0.064	6.4e-05	3.872966692486445e-14	21.226
yorumla	0.001	0.064	6.4e-05	0.0015841584158415843	-3.209
eleştir	0.001	0.064	6.4e-05	0.0003977724741447892	-1.827
kaynaklan	0.001	0.064	6.4e-05	0.0015980823012385138	-3.218
kaçır	0.001	0.064	6.4e-05	0.008460918614020952	-4.884
öde	0.001	0.064	6.4e-05	0.016181229773462782	-5.533
yasakla	0.001	0.064	6.4e-05	0.002050020500205002	-3.467
yan	0.001	0.064	6.4e-05	0.0016440608302507192	-3.246
çarpış	0.001	0.064	6.4e-05	0.02882205513784461	-6.11
yenile	0.0	0.064	0.0	0.0038135593220338985	
vazgeç	0.0	0.064	0.0	0.000423908435777872	
hisset	0.0	0.064	0.0	0.08902333621434745	
tüket	0.0	0.064	0.0	4.3591979075850046e-14	
yat	0.0	0.064	0.0	0.00043725404459991256	
sor	0.0	0.064	0.0	0.0026292725679228747	
giriş	0.0	0.064	0.0	4.4326241134751775e-14	
yargıla	0.0	0.064	0.0	0.0017809439002671415	
ölç	0.0	0.064	0.0	0.00044682752457551384	
unut	0.0	0.064	0.0	0.038185085354896675	
kaybol	0.0	0.064	0.0	4.5310376076121436e-14	
çök	0.0	0.064	0.0	0.016795279164775308	
kapla	0.0	0.064	0.0	0.0031919744642042863	
algıla	0.0	0.064	0.0	0.000462962962962963	
derle	0.0	0.064	0.0	4.633920296570899e-14	
buluş	0.0	0.064	0.0	0.10526315789473684	
kirala	0.0	0.064	0.0	4.705882352941177e-14	
onayla	0.0	0.064	0.0	0.01649387370405278	
koş	0.0	0.064	0.0	0.14069877242681775	
göm	0.0	0.064	0.0	0.011336797354747285	
çağır	0.0	0.064	0.0	0.021759697256385997	
dolaş	0.0	0.064	0.0	0.04243008678881389	
yükle	0.0	0.064	0.0	0.006792819019893256	
yönlendir	0.0	0.064	0.0	4.9358341559723595e-14	
sapta	0.0	0.064	0.0	4.9603174603174604e-14	
öngör	0.0	0.064	0.0	4.982561036372696e-14	
uyan	0.0	0.064	0.0	0.5324214792299898	
sahnele	0.0	0.064	0.0	0.001519756838905775	
del	0.0	0.064	0.0	0.0020294266869609334	
kay	0.0	0.064	0.0	0.29876796714579057	
çağrıl	0.0	0.064	0.0	5.189413596263622e-14	
kısal	0.0	0.064	0.0	0.8962117280747276	
başvur	0.0	0.064	0.0	5.202913631633715e-14	
kanıtla	0.0	0.064	0.0	0.0005246589716684155	
harca	0.0	0.064	0.0	0.0031982942430703624	
amaçla	0.0	0.064	0.0	5.443658138268917e-14	
nitelen	0.0	0.064	0.0	0.8395196506550219	
örgütle	0.0	0.064	0.0	0.0005467468562055768	
dinle	0.0	0.064	0.0	0.07447973713033954	
gözlemle	0.0	0.064	0.0	5.488474204171241e-14	
sar	0.0	0.064	0.0	0.004402861860209136	
parçala	0.0	0.064	0.0	0.0038716814159292035	
eriş	0.0	0.064	0.0	0.012201885745978924	
gözle	0.0	0.064	0.0	5.5897149245388484e-14	
avla	0.0	0.064	0.0	0.0005672149744753262	
hatırla	0.0	0.064	0.0	0.30417381360777584	
sula	0.0	0.064	0.0	0.0028951939779965257	
esinle	0.0	0.064	0.0	5.858230814294083e-14	
gez	0.0	0.064	0.0	0.0831858407079646	
yüz	0.0	0.064	0.0	0.028368794326241134	
beğen	0.0	0.064	0.0	0.010650887573964497	
dik	0.0	0.064	0.0	0.05552238805970149	
düzel	0.0	0.064	0.0	0.8322228952150212	
vurgula	0.0	0.064	0.0	6.112469437652812e-14	
takıl	0.0	0.064	0.0	6.116207951070336e-14	
güçlen	0.0	0.064	0.0	1.0	
dene	0.0	0.064	0.0	0.0006191950464396285	
boşa	0.0	0.064	0.0	0.003105590062111801	
as	0.0	0.064	0.0	0.019023462270133164	
iç	0.0	0.064	0.0	0.001272264631043257	
sıkış	0.0	0.064	0.0	0.6596289187460013	
öğret	0.0	0.064	0.0	6.510416666666667e-14	
fırla	0.0	0.064	0.0	0.8840104849279161	
fethet	0.0	0.064	0.0	6.596306068601583e-14	
ilet	0.0	0.064	0.0	6.729475100942126e-14	
kap	0.0	0.064	0.0	0.3873626373626374	
devret	0.0	0.064	0.0	0.002751031636863824	
kork	0.0	0.064	0.0	6.910850034554251e-14	
doğur	0.0	0.064	0.0	0.010395010395010396	
dinlen	0.0	0.064	0.0	0.06908583391486392	
kalkın	0.0	0.064	0.0	0.040931545518701484	
sığın	0.0	0.064	0.0	0.002849002849002849	
temizle	0.0	0.064	0.0	0.007874015748031496	
depola	0.0	0.064	0.0	7.163323782234958e-14	
görüş	0.0	0.064	0.0	0.008683068017366137	
yet	0.0	0.064	0.0	7.385524372230429e-14	
betimle	0.0	0.064	0.0	0.0007468259895444362	
gözük	0.0	0.064	0.0	0.0007479431563201197	
em	0.0	0.064	0.0	0.03967065868263473	
süsle	0.0	0.064	0.0	0.002250562640660165	
tüken	0.0	0.064	0.0	0.0007513148009015778	
eri	0.0	0.064	0.0	0.2752851711026616	
yolla	0.0	0.064	0.0	0.0015220700152207	
kısıtla	0.0	0.064	0.0	7.621951219512196e-14	
hedefle	0.0	0.064	0.0	7.651109410864576e-14	
oyla	0.0	0.064	0.0	0.00778816199376947	
ada	0.0	0.064	0.0	0.009375	
çoğal	0.0	0.064	0.0	0.29120879120879123	
tekrarla	0.0	0.064	0.0	0.0031496062992125984	
bin	0.0	0.064	0.0	0.22634069400630916	
kop	0.0	0.064	0.0	7.936507936507936e-14	
emret	0.0	0.064	0.0	8.00640512409928e-14	
it	0.0	0.064	0.0	0.021634615384615384	
sorgula	0.0	0.064	0.0	0.00645682001614205	
sil	0.0	0.064	0.0	0.015372168284789644	
uyar	0.0	0.064	0.0	0.002437043054427295	
odakla	0.0	0.064	0.0	8.176614881439084e-14	
tak	0.0	0.064	0.0	0.01725554642563681	
denetle	0.0	0.064	0.0	0.0024650780608052587	
pazarla	0.0	0.064	0.0	8.264462809917356e-14	
doğrula	0.0	0.064	0.0	0.01079734219269103	
soruştur	0.0	0.064	0.0	8.375209380234507e-14	
ayarla	0.0	0.064	0.0	0.0008431703204047217	
döv	0.0	0.064	0.0	0.011864406779661017	
kov	0.0	0.064	0.0	0.010186757215619695	
yara	0.0	0.064	0.0	8.517887563884156e-14	
bat	0.0	0.064	0.0	8.539709649871905e-14	
zayıfla	0.0	0.064	0.0	0.28620689655172415	
dokun	0.0	0.064	0.0	0.040905134899912966	
gecik	0.0	0.064	0.0	0.23426573426573427	
programla	0.0	0.064	0.0	8.795074758135444e-14	
gider	0.0	0.064	0.0	8.802816901408451e-14	
pişir	0.0	0.064	0.0	8.81057268722467e-14	
kuru	0.0	0.064	0.0	0.5485611510791367	
eşleş	0.0	0.064	0.0	0.14581458145814583	
defnet	0.0	0.064	0.0	0.007207207207207207	
faydalan	0.0	0.064	0.0	0.003616636528028933	
gizle	0.0	0.064	0.0	0.0009191176470588235	
püskür	0.0	0.064	0.0	0.7670349907918969	
donat	0.0	0.064	0.0	0.0018796992481203006	
eğ	0.0	0.064	0.0	0.10941960038058991	
