verb_lemma	verb_freq	expected_caus_freq	caus_freq	diff
ol	725240	43514.4	25.0	43489.4
et	246926	14815.56	4882.0	9933.56
al	142776	8566.56	360.0	8206.56
yap	180776	10846.56	3961.0	6885.56
ver	101330	6079.8	210.0	5869.8
kullan	84770	5086.2	59.0	5027.2
bulun	115189	6911.34	2539.0	4372.34
kur	62880	3772.8	212.0	3560.8
gör	49930	2995.8	13.0	2982.8
kal	49000	2940.0	1.0	2939.0
gir	39841	2390.46	7.0	2383.46
sağla	32742	1964.52	5.0	1959.52
yaşa	41776	2506.56	781.0	1725.56
oyna	41930	2515.8	824.0	1691.8
de	28370	1702.2	45.0	1657.2
yaz	34433	2065.98	473.0	1592.98
aç	27274	1636.44	100.0	1536.44
çek	28652	1719.12	229.0	1490.12
çalış	70006	4200.36	2774.0	1426.36
at	26359	1581.54	161.0	1420.54
getir	29245	1754.7	364.0	1390.7
yayınla	24354	1461.24	74.0	1387.24
düzenle	23552	1413.12	27.0	1386.12
taşı	23340	1400.4	47.0	1353.4
iste	22072	1324.32	6.0	1318.32
söyle	22361	1341.66	67.0	1274.66
geçir	21676	1300.56	44.0	1256.56
seç	21787	1307.22	60.0	1247.22
bul	19054	1143.24	24.0	1119.24
bırak	17664	1059.84	43.0	1016.84
sat	15249	914.94	8.0	906.94
tamamla	14867	892.02	24.0	868.02
araştır	14192	851.52	3.0	848.52
doğ	14134	848.04	1.0	847.04
gönder	14056	843.36	15.0	828.36
yayımla	14510	870.6	52.0	818.6
anlat	13206	792.36	8.0	784.36
sun	12428	745.68	45.0	700.68
konuş	12610	756.6	75.0	681.6
yarat	11063	663.78	2.0	661.78
kaybet	12220	733.2	79.0	654.2
tanımla	10867	652.02	1.0	651.02
yönet	10439	626.34	2.0	624.34
izle	11219	673.14	51.0	622.14
koru	10293	617.58	1.0	616.58
bitir	10277	616.62	1.0	615.62
var	10454	627.24	26.0	601.24
ayır	25301	1518.06	929.0	589.06
dön	23126	1387.56	810.0	577.56
düşün	13703	822.18	247.0	575.18
giy	15574	934.44	363.0	571.44
hazırla	12020	721.2	152.0	569.2
bağla	9866	591.96	28.0	563.96
topla	12166	729.96	170.0	559.96
say	8848	530.88	8.0	522.88
uygula	9182	550.92	39.0	511.92
bak	8503	510.18	11.0	499.18
etkile	8318	499.08	2.0	497.08
incele	7693	461.58	12.0	449.58
ata	7392	443.52	3.0	440.52
tut	13268	796.08	373.0	423.08
üstlen	7013	420.78	1.0	419.78
kaydet	7646	458.76	42.0	416.76
koy	8531	511.86	96.0	415.86
imzala	7983	478.98	69.0	409.98
kaldır	7309	438.54	42.0	396.54
tartış	6327	379.62	1.0	378.62
yay	6234	374.04	2.0	372.04
ekle	6476	388.56	26.0	362.56
yakala	6934	416.04	60.0	356.04
bit	6143	368.58	20.0	348.58
ara	7138	428.28	85.0	343.28
ele	5731	343.86	2.0	341.86
vur	5980	358.8	33.0	325.8
kurtar	5212	312.72	1.0	311.72
davran	5163	309.78	1.0	308.78
karşıla	5146	308.76	1.0	307.76
çatış	5101	306.06	3.0	303.06
tasarla	5128	307.68	6.0	301.68
keşfet	5040	302.4	4.0	298.4
rastla	4925	295.5	2.0	293.5
çal	7303	438.18	152.0	286.18
kır	5081	304.86	19.0	285.86
kon(I)	5075	304.5	22.0	282.5
böl	4705	282.3	3.0	279.3
reddet	4219	253.14	1.0	252.14
götür	4172	250.32	2.0	248.32
sev	6297	377.82	133.0	244.82
uyarla	3944	236.64	1.0	235.64
savaş	4037	242.22	10.0	232.22
ayaklan	4801	288.06	58.0	230.06
engelle	3855	231.3	2.0	229.3
ilerle	8289	497.34	274.0	223.34
aktar	3721	223.26	1.0	222.26
inan	7451	447.06	231.0	216.06
bahset	3989	239.34	31.0	208.34
boz	4109	246.54	47.0	199.54
çöz	3471	208.26	11.0	197.26
edin	3609	216.54	20.0	196.54
çevir	3687	221.22	26.0	195.22
sakla	3158	189.48	2.0	187.48
duyur	3141	188.46	1.0	187.46
çiz	3547	212.82	27.0	185.82
düşür	3077	184.62	5.0	179.62
dağıt	3126	187.56	8.0	179.56
artır	3002	180.12	2.0	178.12
hesapla	2864	171.84	1.0	170.84
aş	2807	168.42	3.0	165.42
zorla	2736	164.16	1.0	163.16
kutla	2679	160.74	1.0	159.74
bestele	2635	158.1	2.0	156.1
sok	2608	156.48	5.0	151.48
eleştir	2514	150.84	1.0	149.84
yorumla	2525	151.5	4.0	147.5
kaynaklan	2503	150.18	4.0	146.18
yan	2433	145.98	4.0	141.98
yasakla	2439	146.34	5.0	141.34
değ	2896	173.76	33.0	140.76
vazgeç	2359	141.54	1.0	140.54
dök	2761	165.66	27.0	138.66
yat	2287	137.22	1.0	136.22
yak	2853	171.18	36.0	135.18
ölç	2238	134.28	1.0	133.28
yenile	2360	141.6	9.0	132.6
sor	2282	136.92	6.0	130.92
yargıla	2246	134.76	4.0	130.76
yarış	2656	159.36	29.0	130.36
algıla	2160	129.6	1.0	128.6
kaçır	2482	148.92	21.0	127.92
uğraş	3031	181.86	54.0	127.86
kapla	2193	131.58	7.0	124.58
kıl	2699	161.94	46.0	115.94
sahnele	1974	118.44	3.0	115.44
benimse	2911	174.66	60.0	114.66
del	1971	118.26	4.0	114.26
kanıtla	1906	114.36	1.0	113.36
yükle	2061	123.66	14.0	109.66
örgütle	1829	109.74	1.0	108.74
öde	2472	148.32	40.0	108.32
tutukla	3564	213.84	106.0	107.84
harca	1876	112.56	6.0	106.56
avla	1763	105.78	1.0	104.78
göm	2117	127.02	24.0	103.02
parçala	1808	108.48	7.0	101.48
sar	1817	109.02	8.0	101.02
sula	1727	103.62	5.0	98.62
dene	1615	96.9	1.0	95.9
çök	2203	132.18	37.0	95.18
iç	1572	94.32	2.0	92.32
onayla	2122	127.32	35.0	92.32
boşa	1610	96.6	5.0	91.6
ye	3477	208.62	118.0	90.62
eriş	1803	108.18	22.0	86.18
yık	4829	289.74	204.0	85.74
beğen	1690	101.4	18.0	83.4
devret	1454	87.24	4.0	83.24
çağır	2114	126.84	46.0	80.84
sığın	1404	84.24	4.0	80.24
bekle	7429	445.74	366.0	79.74
betimle	1339	80.34	1.0	79.34
gözük	1337	80.22	1.0	79.22
tüken	1331	79.86	1.0	78.86
